ttip_party,ttip_position,name,ttip_institution,nationality,id
EU,Negotiator,John Clarke,"Directorate-General for Agriculture and Rural Development, European Commission",UK,john-clarke
EU,Negotiator,Marco Düerkop,"Directorate-General for Trade, European Commission",DE,marco-duerkop
US,Negotiator,Julia Doherty,USTR (US Trade Agency),US,julia-doherty
US,Negotiator,Jason Bernstein,USTR (US Trade Agency),US,jason-bernstein
EU,Negotiator,Benjamin Musall,"Directorate-General for Trade, European Commission",DE,benjamin-musall
EU,Negotiator,Jean-Marc Trarieux,"Directorate-General for Agriculture and Rural Development, European Commission",FR,jean-marc-trarieux
EU,Chief Negotiator,Ignacio Garcia Bercero,"Directorate-General for Trade, European Commission",ES,ignacio-garcia-bercero
US,Negotiator,Carolyn Miller,USTR (US Trade Agency),US,carolyn-miller
US,Negotiator,Mary Thornton,USTR (US Trade Agency),US,mary-thornton
EU,,Monika Hencsey,,HU,monika-hencsey
EU,Negotiator,Denis Redonnet,"Directorate-General for Trade, European Commission",FR,denis-redonnet
US,Negotiator,George York,USTR (US Trade Agency),US,george-york
EU,Negotiator,Roman Mokry,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs, European Commission",SK,roman-mokry
EU,Negotiator,Zoltan Somogyi,"Directorate-General for Trade, European Commission",HU,zoltan-somogyi
US,Negotiator,Rachel Shub,USTR (US Trade Agency),US,rachel-shub
EU,Negotiator,Sébastien Goux,"Directorate-General for Health and Food Safety, European Commission",BE,sebastien-goux
EU,Negotiator,Pedro Velasco Martins,"Directorate-General for Trade, European Commission",PT,pedro-velasco-martins
US,Deputy Chief Negotiator,David Weiner,USTR (US Trade Agency),US,david-weiner
US,Negotiator,Gavin Buckley,US Treasury Department,US,gavin-buckley
US,Negotiator,Jean Kemp,USTR (US Trade Agency),US,jean-kemp
US,Negotiator,Scott Pietan,USTR (US Trade Agency),US,scott-pietan
EU,Negotiator,Leopoldo Rubinacci,"Directorate-General for Trade, European Commission",IT,leopoldo-rubinacci
EU,Negotiator,Antonis Kastrissianakis,"Directorate-General for Taxation and Customs Union, European Commission",GR,antonis-kastrissianakis
US,Negotiator,Thomas Fine,USTR (US Trade Agency),US,thomas-fine
EU,Negotiator,Paolo Garzotti,"Directorate-General for Trade, European Commission",IT,paolo-garzotti
EU,Negotiator,Jan Schmitz,"Directorate-General for Trade, European Commission",D,jan-schmitz
US,Negotiator,Matthew Jaffe,USTR (US Trade Agency),US,matthew-jaffe
US,Negotiator,Dawn Shackleford,USTR (US Trade Agency),US,dawn-shackleford
EU,Negotiator,Lorenzo Terzi,"Directorate-General for Health and Food Safety, European Commission",IT,lorenzo-terzi
EU,Negotiator,Ulrich Weigl,"Directorate-General for Trade, European Commission",DE,ulrich-weigl
US,Negotiator,Mary Ryckman,USTR (US Trade Agency),US,mary-ryckman
EU,Negotiator,Raimundo Serra,"Directorate-General for Agriculture and Rural Development, European Commission",PT,raimundo-serra
EU,Negotiator,Petros Sourmelis,"Directorate-General for Trade, European Commission",GR,petros-sourmelis
